Frequency,Power
kHz,dB
"1,26516025804769","-0,101985662266731"
"11,1537959392552","-0,0439519799726931"
"20,5417412062243","-0,0657146108329574"
"31,7822410058754","-0,189036185707787"
"42,8224646398311","-0,428425125170691"
"50,758407705509","-0,653305644060085"
"58,5441436469155","-0,653305644060085"
"72,7637514112847","-1,11032089212563"
"82,5772835303565","-1,49479403732363"
"95,3949581348584","-2,12591033227128"
"107,461597118003","-2,72800978607192"
"125,486452030583","-3,61302344105599"
"144,137169960962","-4,73742603550296"
"159,984021571606","-5,83281178880291"
"176,181356472217","-6,79036754665453"
"193,755590011983","-7,84948224852071"
"213,257481646567","-9,01015589440146"
"230,681508062062","-10,0692705962676"
"248,481052288235","-11,0268263541193"
"264,07755869176","-11,8683147473828"
"276,87019877555","-12,4704142011834"
"288,085664054489","-13,1087847064178"
"300,152303037633","-13,6383420573509"
